01dsj1000.txt,18659688 ,18685182 ,18752817 ,18716395 ,18714172 ,16449.49667,0.137,0.499,0.304,0.292,25,942,16.276,18752249 ,18752817 ,18714172 ,18732207 ,18686288 ,18701733 ,18706210 ,18692115 ,18730671 ,18718601 ,18704563 ,18699370 ,18721408 ,18719883 ,18685182 ,18740498 ,18695246 ,18710282 ,18703941 ,18713261 ,18735259 ,18703377 ,18738546 ,18722535 ,18729459 
02pr1002.txt,259045 ,259712 ,261018 ,260564 ,260607 ,233.3566667,0.257,0.762,0.586,0.603,25,938,12.844,260294 ,260675 ,260901 ,260752 ,260853 ,260381 ,260594 ,260293 ,260370 ,260630 ,260591 ,260422 ,261018 ,260575 ,260896 ,259712 ,260169 ,260466 ,260809 ,260768 ,260647 ,260810 ,260168 ,260697 ,260607 
03u1060.txt,224094 ,224599 ,225389 ,224908 ,224861 ,167.55,0.225,0.578,0.363,0.342,25,934,14.107,225142 ,224859 ,224888 ,224599 ,224758 ,225004 ,225251 ,224949 ,224700 ,224812 ,224859 ,224739 ,224912 ,225139 ,225067 ,224733 ,224751 ,224804 ,225074 ,224619 ,225045 ,225031 ,224725 ,224861 ,225389 
04vm1084.txt,239297 ,239529 ,240490 ,239808 ,239761 ,169.15,0.097,0.499,0.213,0.194,25,941,16.83,240070 ,239765 ,239997 ,239838 ,239754 ,239746 ,239860 ,239790 ,239719 ,239924 ,239672 ,240490 ,239906 ,239529 ,239719 ,239967 ,239648 ,239558 ,239702 ,239761 ,239936 ,239632 ,240117 ,239555 ,239533 
05pcb1173.txt,56892 ,56965 ,57281 ,57133 ,57159 ,73.81666667,0.128,0.684,0.424,0.469,25,940,16.524,57138 ,57014 ,57154 ,57116 ,57186 ,57202 ,57201 ,57062 ,57201 ,57281 ,57159 ,57175 ,57090 ,57167 ,57188 ,57179 ,57179 ,57215 ,56999 ,57019 ,57263 ,56965 ,57026 ,57074 ,57084 
06d1291.txt,50801 ,50919 ,51391 ,51092 ,51056 ,98,0.232,1.161,0.572,0.502,22,896,17.659,51360 ,50919 ,51151 ,50993 ,51391 ,51050 ,50995 ,50964 ,51143 ,51031 ,50985 ,51053 ,51072 ,51060 ,51151 ,51313 ,51014 ,50997 ,51096 ,51114 ,51033 ,51267 ,51056 ,50976 ,51106 
07rl1304.txt,252948 ,252999 ,254067 ,253442 ,253314 ,324.6366667,0.02,0.442,0.195,0.145,25,931,20.739,253986 ,254027 ,253189 ,254067 ,253224 ,253224 ,253752 ,253092 ,253047 ,253717 ,253847 ,253816 ,253051 ,253095 ,253148 ,253276 ,253644 ,253445 ,253348 ,253228 ,253614 ,253054 ,253314 ,252999 ,253840 
08rl1323.txt,270199 ,270536 ,271609 ,271157 ,271224 ,306.15,0.125,0.522,0.354,0.379,25,926,21.16,270899 ,271375 ,270938 ,271160 ,271540 ,271397 ,271437 ,270536 ,271387 ,271323 ,270752 ,271609 ,271134 ,271311 ,270666 ,271571 ,271224 ,271384 ,270822 ,271605 ,270901 ,271546 ,270916 ,270578 ,270909 
09nrw1379.txt,56638 ,56818 ,56931 ,56875 ,56875 ,27.59333333,0.318,0.517,0.418,0.418,25,938,22.296,56878 ,56849 ,56898 ,56863 ,56875 ,56910 ,56825 ,56820 ,56835 ,56863 ,56900 ,56901 ,56865 ,56818 ,56865 ,56879 ,56931 ,56902 ,56931 ,56891 ,56882 ,56925 ,56845 ,56857 ,56861 
10fl1400.txt,20127 ,20130 ,20410 ,20207 ,20188 ,61.77666667,0.015,1.406,0.395,0.303,23,949,23.656,20199 ,20156 ,20188 ,20179 ,20188 ,20157 ,20272 ,20186 ,20410 ,20138 ,20205 ,20214 ,20140 ,20215 ,20241 ,20139 ,20140 ,20140 ,20402 ,20298 ,20130 ,20133 ,20317 ,20231 ,20145 
11u1432.txt,152970 ,153422 ,153824 ,153560 ,153530 ,80.38666667,0.295,0.558,0.386,0.366,25,944,22.992,153517 ,153572 ,153492 ,153560 ,153506 ,153571 ,153824 ,153657 ,153617 ,153488 ,153699 ,153482 ,153510 ,153487 ,153456 ,153674 ,153530 ,153554 ,153635 ,153648 ,153458 ,153483 ,153665 ,153487 ,153422 
12fl1577.txt,22249 ,22280 ,22348 ,22296 ,22294 ,8.946666667,0.139,0.445,0.211,0.202,25,954,24.22,22293 ,22287 ,22288 ,22299 ,22301 ,22298 ,22285 ,22280 ,22287 ,22302 ,22294 ,22348 ,22282 ,22301 ,22323 ,22294 ,22294 ,22290 ,22287 ,22290 ,22300 ,22288 ,22299 ,22294 ,22295 
13d1655.txt,62128 ,62234 ,62561 ,62408 ,62416 ,58.35,0.171,0.697,0.45,0.464,25,929,25.75,62416 ,62427 ,62464 ,62295 ,62561 ,62312 ,62444 ,62454 ,62406 ,62436 ,62234 ,62430 ,62350 ,62443 ,62543 ,62453 ,62387 ,62454 ,62362 ,62382 ,62394 ,62474 ,62331 ,62335 ,62403 
