18752249 ,18752817 ,18714172 ,18732207 ,18686288 ,18701733 ,18706210 ,18692115 ,18730671 ,18718601 ,18704563 ,18699370 ,18721408 ,18719883 ,18685182 ,18740498 ,18695246 ,18710282 ,18703941 ,18713261 ,18735259 ,18703377 ,18738546 ,18722535 ,18729459 
260294 ,260675 ,260901 ,260752 ,260853 ,260381 ,260594 ,260293 ,260370 ,260630 ,260591 ,260422 ,261018 ,260575 ,260896 ,259712 ,260169 ,260466 ,260809 ,260768 ,260647 ,260810 ,260168 ,260697 ,260607 
225142 ,224859 ,224888 ,224599 ,224758 ,225004 ,225251 ,224949 ,224700 ,224812 ,224859 ,224739 ,224912 ,225139 ,225067 ,224733 ,224751 ,224804 ,225074 ,224619 ,225045 ,225031 ,224725 ,224861 ,225389 
240070 ,239765 ,239997 ,239838 ,239754 ,239746 ,239860 ,239790 ,239719 ,239924 ,239672 ,240490 ,239906 ,239529 ,239719 ,239967 ,239648 ,239558 ,239702 ,239761 ,239936 ,239632 ,240117 ,239555 ,239533 
57138 ,57014 ,57154 ,57116 ,57186 ,57202 ,57201 ,57062 ,57201 ,57281 ,57159 ,57175 ,57090 ,57167 ,57188 ,57179 ,57179 ,57215 ,56999 ,57019 ,57263 ,56965 ,57026 ,57074 ,57084 
51360 ,50919 ,51151 ,50993 ,51391 ,51050 ,50995 ,50964 ,51143 ,51031 ,50985 ,51053 ,51072 ,51060 ,51151 ,51313 ,51014 ,50997 ,51096 ,51114 ,51033 ,51267 ,51056 ,50976 ,51106 
253986 ,254027 ,253189 ,254067 ,253224 ,253224 ,253752 ,253092 ,253047 ,253717 ,253847 ,253816 ,253051 ,253095 ,253148 ,253276 ,253644 ,253445 ,253348 ,253228 ,253614 ,253054 ,253314 ,252999 ,253840 
270899 ,271375 ,270938 ,271160 ,271540 ,271397 ,271437 ,270536 ,271387 ,271323 ,270752 ,271609 ,271134 ,271311 ,270666 ,271571 ,271224 ,271384 ,270822 ,271605 ,270901 ,271546 ,270916 ,270578 ,270909 
56878 ,56849 ,56898 ,56863 ,56875 ,56910 ,56825 ,56820 ,56835 ,56863 ,56900 ,56901 ,56865 ,56818 ,56865 ,56879 ,56931 ,56902 ,56931 ,56891 ,56882 ,56925 ,56845 ,56857 ,56861 
20199 ,20156 ,20188 ,20179 ,20188 ,20157 ,20272 ,20186 ,20410 ,20138 ,20205 ,20214 ,20140 ,20215 ,20241 ,20139 ,20140 ,20140 ,20402 ,20298 ,20130 ,20133 ,20317 ,20231 ,20145 
153517 ,153572 ,153492 ,153560 ,153506 ,153571 ,153824 ,153657 ,153617 ,153488 ,153699 ,153482 ,153510 ,153487 ,153456 ,153674 ,153530 ,153554 ,153635 ,153648 ,153458 ,153483 ,153665 ,153487 ,153422 
22293 ,22287 ,22288 ,22299 ,22301 ,22298 ,22285 ,22280 ,22287 ,22302 ,22294 ,22348 ,22282 ,22301 ,22323 ,22294 ,22294 ,22290 ,22287 ,22290 ,22300 ,22288 ,22299 ,22294 ,22295 
62416 ,62427 ,62464 ,62295 ,62561 ,62312 ,62444 ,62454 ,62406 ,62436 ,62234 ,62430 ,62350 ,62443 ,62543 ,62453 ,62387 ,62454 ,62362 ,62382 ,62394 ,62474 ,62331 ,62335 ,62403 
338071 ,337834 ,337943 ,337716 ,337688 ,338385 ,337994 ,337566 ,338481 ,338014 ,338350 ,337838 ,337734 ,338237 ,338201 ,337703 ,337838 ,338018 ,337400 ,338085 ,337470 ,337615 ,338123 ,338073 ,337986 
57508 ,57551 ,57563 ,57589 ,57627 ,57562 ,57473 ,57482 ,57554 ,57433 ,57426 ,57544 ,57566 ,57556 ,57457 ,57473 ,57534 ,57414 ,57502 ,57522 ,57486 ,57568 ,57427 ,57500 ,57540 
